"model_name","seed","training_status","training_dataset","num_training_samples","generation_strategy","prompt_type","explanation_type","response_type","response_format","evaluation_dataset","label_accuracy","misclassification_rate","combined_accuracy","malformed_label","malformed_domain","total_predictions","correct_predictions","conditional_accuracy","wrong_predictions","correct_label_and_domain","Constitutional_Law_accuracy","Contracts_accuracy","Criminal_Law_accuracy","Evidence_accuracy","Real_Property_accuracy","Torts_accuracy","Civil_Procedure_accuracy","correct_domain_wrong_label","correct_label_wrong_domain","both_wrong"
"llama2","seed_206","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","fact_first","markdown","test_set_1",0.35,0.65,0.22,1,31,99,35,0.35,64,22,0.14,0.29,0.46,0.07,0.07,0.38,0.19,46,13,18
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","few_shot","structured","answer_first","markdown","test_set_1",0.49,0.51,0.25,0,46,99,49,0.49,51,25,0.36,0,0.38,0.47,0.21,0.31,0.06,28,24,22
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.43,0.57,0.32,2,24,99,43,0.44,55,32,0.36,0.36,0.31,0.27,0.43,0.46,0.13,43,11,13
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","structured","answer_first","number_list","test_set_1",0.21,0.79,0.16,21,44,99,21,0.27,58,16,0.21,0.07,0.31,0.13,0.29,0,0.13,39,5,39
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","few_shot","structured","fact_first","number_list","test_set_1",0.49,0.51,0.24,1,56,99,49,0.49,50,24,0.14,0.14,0.38,0.27,0.29,0.38,0.13,19,25,31
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_1",0.28,0.72,0.22,36,22,99,28,0.44,36,22,0.07,0.29,0.38,0.2,0.14,0.23,0.25,55,6,16
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0.42,0.58,0.15,6,60,99,42,0.45,52,15,0.07,0.21,0.15,0.13,0.14,0.38,0,24,27,33
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.51,0.49,0.4,0,18,99,50,0.5,50,40,0.43,0.43,0.62,0.33,0.5,0.38,0.19,41,10,8
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","fact_first","markdown","test_set_1",0.47,0.53,0,19,99,99,47,0.58,34,0,0,0,0,0,0,0,0,0,47,52
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","fact_first","number_list","test_set_1",0.43,0.57,0.32,6,34,99,43,0.46,51,32,0.21,0.43,0.46,0.07,0.21,0.31,0.56,33,11,23
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","few_shot","unstructured","answer_first","markdown","test_set_1",0.49,0.51,0,11,97,99,49,0.55,40,0,0,0,0,0,0,0,0,2,49,48
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","structured","answer_first","markdown","test_set_1",0.43,0.57,0.02,9,96,99,43,0.47,48,2,0.07,0,0,0,0,0.08,0,1,41,55
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","answer_first","markdown","test_set_1",0.15,0.85,0,40,99,99,15,0.25,45,0,0,0,0,0,0,0,0,0,15,84
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","unstructured","answer_first","markdown","test_set_1",0,1,0,98,99,99,0,0,2,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","fact_first","number_list","test_set_1",0.32,0.68,0.13,43,74,99,32,0.56,25,13,0,0.29,0.15,0.2,0,0.31,0,12,19,55
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","fact_first","number_list","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.49,0.51,0.38,0,25,99,49,0.49,51,38,0.36,0.21,0.62,0.4,0.5,0.23,0.38,36,11,14
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","fact_first","number_list","test_set_1",0.44,0.56,0.36,4,25,99,44,0.46,52,36,0.14,0.21,0.54,0.4,0.57,0.31,0.38,38,8,17
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","structured","fact_first","markdown","test_set_1",0.39,0.61,0,19,98,99,39,0.48,42,0,0,0,0,0,0,0,0,1,39,59
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","unstructured","answer_first","number_list","test_set_1",0.13,0.87,0.1,51,67,99,13,0.27,36,10,0.07,0.14,0.15,0.07,0.21,0.08,0,22,3,64
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","few_shot","unstructured","fact_first","markdown","test_set_1",0.44,0.56,0.33,14,26,99,44,0.51,42,33,0.5,0.43,0.54,0.33,0.21,0.31,0.06,40,11,15
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","fact_first","number_list","test_set_1",0.51,0.49,0.27,0,46,99,50,0.5,50,27,0.14,0.43,0.46,0.2,0.21,0.46,0.06,26,23,23
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","answer_first","markdown","test_set_1",0.39,0.61,0.28,0,36,99,39,0.39,61,28,0.29,0.43,0.46,0.13,0.21,0.15,0.31,35,11,25
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","fact_first","markdown","test_set_1",0.04,0.96,0,89,99,99,4,0.36,7,0,0,0,0,0,0,0,0,0,4,95
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0.43,0.57,0.37,0,9,99,43,0.43,57,37,0.5,0.21,0.46,0.47,0.36,0.46,0.19,53,6,3
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","answer_first","markdown","test_set_1",0.09,0.91,0,77,99,99,9,0.39,14,0,0,0,0,0,0,0,0,0,9,90
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","answer_first","markdown","test_set_1",0.33,0.67,0.22,12,36,99,33,0.38,55,22,0.14,0.43,0.38,0,0.14,0.31,0.19,41,11,25
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","answer_first","number_list","test_set_1",0.39,0.61,0.35,0,12,99,39,0.39,61,35,0.14,0.5,0.46,0.2,0.36,0.38,0.44,52,4,8
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.01,0.99,0,97,98,99,1,0.33,2,0,0,0,0,0,0,0,0,1,1,97
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.46,0.54,0.42,0,10,99,46,0.46,54,42,0.5,0.36,0.62,0.47,0.36,0.38,0.31,47,4,6
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","structured","fact_first","number_list","test_set_1",0.56,0.44,0.42,0,28,99,55,0.55,45,42,0.64,0.29,0.85,0.33,0.36,0.46,0.13,29,13,15
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","structured","answer_first","number_list","test_set_1",0.02,0.98,0.01,88,93,99,2,0.17,10,1,0,0,0.08,0,0,0,0,5,1,92
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","answer_first","number_list","test_set_1",0.23,0.77,0.2,40,51,99,23,0.38,37,20,0.36,0.14,0.31,0.2,0.21,0.15,0.06,28,3,48
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","unstructured","answer_first","markdown","test_set_1",0.13,0.87,0,77,99,99,13,0.57,10,0,0,0,0,0,0,0,0,0,13,86
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.49,0.51,0.47,0,6,99,49,0.49,51,47,0.64,0.36,0.54,0.33,0.43,0.54,0.5,46,2,4
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","few_shot","structured","answer_first","markdown","test_set_1",0.27,0.73,0.02,34,95,99,27,0.41,39,2,0,0,0.08,0,0,0.08,0,2,25,70
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.48,0.52,0.31,0,35,99,48,0.48,52,31,0.29,0.29,0.38,0.33,0.5,0.31,0.13,33,17,18
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","fact_first","markdown","test_set_1",0.04,0.96,0,89,99,99,4,0.36,7,0,0,0,0,0,0,0,0,0,4,95
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.24,0.76,0.22,0,9,99,24,0.24,76,22,0.14,0.29,0.23,0.27,0.29,0.23,0.13,68,2,7
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","fact_first","markdown","test_set_1",0.09,0.91,0,74,99,99,9,0.35,17,0,0,0,0,0,0,0,0,0,9,90
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.34,0.66,0.31,0,15,99,34,0.34,66,31,0.21,0.43,0.38,0.13,0.36,0.38,0.31,53,3,12
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","structured","answer_first","markdown","test_set_1",0.02,0.98,0,97,99,99,2,0.67,1,0,0,0,0,0,0,0,0,0,2,97
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","few_shot","structured","fact_first","markdown","test_set_1",0.57,0.43,0.33,1,47,99,56,0.57,43,33,0.57,0,0.62,0.53,0.07,0.54,0.06,19,23,24
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","structured","fact_first","number_list","test_set_1",0.07,0.93,0.04,76,53,99,7,0.29,17,4,0,0,0.08,0.07,0.14,0,0,42,3,50
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","few_shot","unstructured","fact_first","markdown","test_set_1",0.53,0.47,0.03,1,94,99,52,0.53,47,3,0,0,0.08,0,0,0.15,0,2,49,45
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","fact_first","number_list","test_set_1",0.28,0.72,0.18,43,59,99,28,0.49,29,18,0.21,0.29,0.15,0.13,0.07,0.15,0.25,22,10,49
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_1",0.45,0.55,0.36,13,19,99,45,0.52,42,36,0.36,0.43,0.54,0.4,0.29,0.46,0.13,44,9,10
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_1",0.48,0.52,0.41,0,14,99,48,0.48,52,41,0.43,0.29,0.69,0.33,0.5,0.31,0.38,44,7,7
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","structured","fact_first","markdown","test_set_1",0,1,0,96,99,99,0,0,4,0,0,0,0,0,0,0,0,0,0,99
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","unstructured","fact_first","number_list","test_set_1",0.07,0.93,0.06,78,75,99,7,0.32,15,6,0.07,0.07,0.31,0,0,0,0,18,1,74
"llama3","seed_206","trained","all_domains_1_samples",1,"temp_06","zero_shot","unstructured","fact_first","markdown","test_set_1",0.39,0.61,0.08,13,83,99,39,0.45,48,8,0.14,0.14,0.08,0.07,0.14,0,0,8,31,52
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","answer_first","markdown","test_set_1",0.48,0.52,0.35,0,33,99,48,0.48,52,35,0.5,0.29,0.62,0.4,0.5,0.23,0,31,13,20
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","structured","answer_first","number_list","test_set_1",0.36,0.64,0.28,0,12,99,36,0.36,64,28,0.29,0.21,0.38,0.2,0.29,0.23,0.38,59,8,4
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","zero_shot","structured","fact_first","number_list","test_set_1",0.04,0.96,0.01,90,96,99,4,0.4,6,1,0,0,0,0,0,0.08,0,2,3,93
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","unstructured","answer_first","number_list","test_set_1",0.01,0.99,0,98,99,99,1,0.5,1,0,0,0,0,0,0,0,0,0,1,98
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_1",0.25,0.75,0.22,0,19,99,25,0.25,75,22,0,0.29,0.38,0.07,0.21,0.31,0.31,58,3,16
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","answer_first","number_list","test_set_1",0.3,0.7,0.25,0,19,99,30,0.3,70,25,0.14,0.43,0.38,0.07,0.14,0.23,0.38,55,5,14
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","answer_first","number_list","test_set_1",0.47,0.53,0.45,14,19,99,47,0.55,39,45,0.57,0.29,0.62,0.47,0.36,0.38,0.5,35,2,17
"llama3","seed_989","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","answer_first","number_list","test_set_1",0.42,0.58,0.16,8,55,99,42,0.46,50,16,0,0.21,0.15,0.2,0.21,0.38,0,28,26,29
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","answer_first","number_list","test_set_1",0.43,0.57,0.32,2,24,99,43,0.44,55,32,0.36,0.36,0.31,0.27,0.43,0.46,0.13,43,11,13
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","answer_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","zero_shot","unstructured","answer_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","unstructured","fact_first","markdown","test_set_1",0.26,0.74,0.16,31,37,99,26,0.38,43,16,0.14,0.14,0.31,0.13,0,0.15,0.25,46,10,27
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","structured","fact_first","number_list","test_set_1",0.62,0.38,0.33,0,47,99,61,0.61,39,33,0.21,0.14,0.62,0.4,0.43,0.38,0.19,19,28,19
"llama3","seed_989","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","fact_first","number_list","test_set_1",0.26,0.74,0.13,55,78,99,26,0.58,19,13,0,0.29,0.08,0.13,0.07,0.31,0.06,8,13,65
"llama3","seed_989","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","answer_first","number_list","test_set_1",0.47,0.53,0.35,0,25,99,47,0.47,53,35,0.36,0.21,0.46,0.33,0.5,0.23,0.38,39,12,13
"llama3","seed_989","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_1",0.55,0.45,0.44,0,22,99,54,0.54,46,44,0.21,0.5,0.62,0.47,0.57,0.31,0.44,33,10,12
"llama2","seed_206","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","fact_first","markdown","test_set_1",0.28,0.72,0.14,6,42,99,28,0.3,66,14,0,0.21,0.31,0,0.07,0.23,0.19,43,14,28
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","fact_first","number_list","test_set_1",0.29,0.71,0.25,34,20,99,29,0.44,37,25,0.29,0.43,0.38,0.13,0.21,0.08,0.25,54,4,16
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","answer_first","markdown","test_set_1",0.46,0.54,0,4,99,99,46,0.48,50,0,0,0,0,0,0,0,0,0,46,53
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","answer_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","structured","answer_first","markdown","test_set_1",0.51,0.49,0.27,0,46,99,50,0.5,50,27,0.43,0,0.46,0.47,0.14,0.38,0.06,26,23,23
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_025","few_shot","structured","answer_first","number_list","test_set_1",0.49,0.51,0.41,0,18,99,49,0.49,51,41,0.43,0.43,0.69,0.33,0.5,0.38,0.19,40,8,10
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","unstructured","fact_first","number_list","test_set_1",0.31,0.69,0.29,1,9,99,31,0.31,68,29,0.07,0.29,0.54,0.2,0.43,0.23,0.31,61,2,7
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_025","zero_shot","unstructured","answer_first","number_list","test_set_1",0.43,0.57,0.37,1,10,99,43,0.43,56,37,0.5,0.21,0.46,0.47,0.36,0.46,0.19,52,6,4
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","fact_first","markdown","test_set_1",0.51,0.49,0.01,8,97,99,50,0.54,42,1,0,0,0.08,0,0,0,0,1,49,48
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","fact_first","number_list","test_set_1",0.35,0.65,0.28,3,23,99,35,0.36,62,28,0.14,0.43,0.38,0.07,0.21,0.38,0.38,48,7,16
"llama2","seed_989","trained","all_domains_1_samples",1,"greedy","zero_shot","structured","answer_first","number_list","test_set_1",0.36,0.64,0.27,0,25,99,36,0.36,64,27,0.07,0.21,0.54,0.27,0.5,0.31,0.06,47,9,16
"llama3","seed_989","untrained","all_domains_0_samples",0,"greedy","few_shot","unstructured","answer_first","markdown","test_set_1",0.54,0.46,0,2,99,99,53,0.54,45,0,0,0,0,0,0,0,0,0,53,46
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","structured","fact_first","number_list","test_set_1",0.01,0.99,0.01,89,92,99,1,0.09,10,1,0,0,0.08,0,0,0,0,6,0,92
"llama3","seed_989","trained","all_domains_1_samples",1,"greedy","few_shot","unstructured","fact_first","markdown","test_set_1",0.47,0.53,0.4,19,22,99,47,0.58,34,40,0.21,0.29,0.54,0.53,0.57,0.54,0.19,37,7,15
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","few_shot","structured","fact_first","markdown","test_set_1",0.4,0.6,0.02,20,96,99,40,0.5,40,2,0,0,0,0.13,0,0,0,1,38,58
"llama3","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","unstructured","fact_first","markdown","test_set_1",0.1,0.9,0,82,99,99,10,0.56,8,0,0,0,0,0,0,0,0,0,10,89
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_025","zero_shot","structured","fact_first","number_list","test_set_1",0.48,0.52,0.23,0,45,99,48,0.48,52,23,0.07,0.29,0.54,0.13,0.29,0.38,0,31,25,20
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_06","zero_shot","unstructured","fact_first","number_list","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama2","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","unstructured","fact_first","number_list","test_set_1",0.36,0.64,0.32,1,10,99,36,0.36,63,32,0.21,0.43,0.38,0.13,0.29,0.54,0.31,57,4,6
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_06","zero_shot","unstructured","answer_first","number_list","test_set_1",0.22,0.78,0.19,42,55,99,22,0.38,36,19,0.21,0.21,0.31,0.07,0.29,0.23,0.06,25,3,52
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_025","zero_shot","unstructured","answer_first","markdown","test_set_1",0.15,0.85,0,75,99,99,15,0.6,10,0,0,0,0,0,0,0,0,0,15,84
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","few_shot","structured","fact_first","number_list","test_set_1",0.51,0.49,0.46,0,10,99,50,0.5,50,46,0.5,0.43,0.62,0.6,0.36,0.46,0.31,43,4,6
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","unstructured","answer_first","markdown","test_set_1",0.34,0.66,0.22,0,35,99,34,0.34,66,22,0.21,0.36,0.38,0,0.29,0.08,0.25,42,12,23
"llama3","seed_989","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","answer_first","number_list","test_set_1",0.01,0.99,0,98,99,99,1,0.5,1,0,0,0,0,0,0,0,0,0,1,98
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","unstructured","fact_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","zero_shot","structured","fact_first","markdown","test_set_1",0,1,0,99,99,99,0,0,1,0,0,0,0,0,0,0,0,0,0,99
"llama3","seed_206","trained","all_domains_10_samples",10,"temp_025","zero_shot","structured","answer_first","number_list","test_set_1",0.46,0.54,0.42,0,9,99,46,0.46,54,42,0.5,0.36,0.62,0.47,0.36,0.38,0.31,48,4,5
"llama3","seed_206","trained","all_domains_10_samples",10,"greedy","zero_shot","structured","fact_first","number_list","test_set_1",0.49,0.51,0.32,0,33,99,49,0.49,51,32,0.5,0.36,0.38,0.4,0.21,0.31,0.13,34,17,16
"llama3","seed_989","trained","all_domains_1_samples",1,"temp_06","few_shot","unstructured","fact_first","number_list","test_set_1",0.47,0.53,0.4,2,16,99,47,0.48,51,40,0.29,0.43,0.69,0.47,0.43,0.31,0.25,43,7,9
"llama2","seed_206","untrained","all_domains_0_samples",0,"temp_025","few_shot","structured","answer_first","markdown","test_set_1",0.35,0.65,0.24,0,34,99,35,0.35,65,24,0.21,0.43,0.31,0.07,0.21,0.23,0.25,41,11,23
